Nome original;Nome traduzido;Gênero;País;Ocupação;Mini‑biografia e observações
Chowdhury Abdullah AL-MAMUN;Chowdhury Abdullah Al Mamun;Masculino;Bangladesh;Ex‑IGP (chefe da polícia nacional);"Serviu como Inspetor‑Geral da Polícia de Bangladesh (set 2022–ago 2024), ex-chefe da RAB e do CID. Em 2021 sido sancionado pelos EUA por envolvimento na morte de Ekramul Haque sob a lei Global Magnitsky. Arrestado em 2024 por acusações de crimes contra a humanidade relacionadas a protestos e abusos; se tornou testemunha estatal em processo contra Sheikh Hasina (Tribunal de Crimes Internacionais Bangladesh, jul 2025) ."
Motlaq Amer AL-MARRANI;Motlaq Amer Al‑Marrani;Masculino;Iêmen;Ex‑vice-chefe NSB dos Houthis;Como vice-chefe do National Security Bureau (NSB), foi responsável por detenções arbitrárias, tortura e bloqueio de ajuda humanitária. Sancionado pela ONU (Resolução do Conselho de Segurança e posteriormente OFAC) por violações de direitos humanos em Iêmen .
Abdulqader Hasan Yahya AL-MURTADHA;Abdulqader Hasan Yahya Al‑Murtadha;Masculino;Iêmen;Alto oficial dos Houthis / encarregado de detentos;Sanção pelo programa Global Magnitsky (9 dez 2024) dos EUA por envolvimento em tortura, detenção arbitrária e abusos sistêmicos contra prisioneiros em Iêmen como chefe do Comitê Nacional para Assuntos de Prisioneiros dos Houthis . Nascido em 4 mar 1978 em Saada.
Badr Lafi M. ALOTAIBI;Badr Lafi M. Alotaibi;Masculino;Arábia Saudita;Major da inteligência externa saudita;Sanção dos EUA (2019) por participação ativa na equipe de assassinato de Jamal Khashoggi em Istambul (membro da unidade de 15 homens, envolvimento na ocultação de provas). Nasceu em 6 jul 1973, Riyadh. Foi identificado como oficial da inteligência externa .
Khalid Aedh G. ALOTAIBI;Khalid Aedh G. Al‑Otaibi;Masculino;Arábia Saudita;Ex-guarda real;Sanção dos EUA e Reino Unido por envolvimento no assassinato de Khashoggi em 2 out 2018. Ex-guarda real e participe da equipe de 15 enviados ao consulado saudita † esteve sob mandado de prisão turco e foi brevemente detido na França por engano em 2021 .
Mohammad AL-OTAIBI;Mohammad Al‑Otaibi;Masculino;Arábia Saudita;Executivo / segurança?;Nascido em 6 nov 1964. Nome aparece na lista Global Magnitsky (OFAC) juntamente com outros al‑Otaibi sancionados pelo papel no assassinato de Khashoggi. Informação específica de cargo não encontrada, mas possivelmente membro da equipe da inteligência real .
Saif Saad Q. ALQAHTANI;Saif Saad Q. Alqahtani;Masculino;Arábia Saudita;Oficial de treinamento da Força Aérea Saudita, escritório do Príncipe Herdeiro;Participou da equipe de 15 envolvidos no assassinato de Jamal Khashoggi (2 out 2018) em Istambul, incluindo ocultação de evidências. Sanção dos EUA e Reino Unido (Global Magnitsky) desde 2018–2020 The Guardian, 13Busca de Sanções, 13cdn.bma.bm, 13The Guardian, 8cdn.bma.bm, 8Sanções Lursoft, 8.
Saud AL-QAHTANI;Saud al‑Qahtani;Masculino;Arábia Saudita;Ex‑consultor da corte real, ex‑Supervisor Geral de Mídia;Considerado o principal coordenador da operação de Khashoggi, supervisionando a equipe via Skype e orientando os participantes. Sanção dos EUA por GLOMAG desde nov 2018. Sob prisão domiciliar e parcialmente reabilitado internamente desde 2021–2023. Investigações apontam também envolvimento em tortura de ativistas e operações cibernéticas de espionagem política WikipediaU.S. Department of the TreasuryWikipediaThe GuardianMiddle East Fontes: Eyersf.org.
Turki Muserref M. ALSEHRI;Turki Muserref M. Alsehri;Masculino;Arábia Saudita;Oficial de inteligência;Participou da equipe que assassinou Khashoggi, conforme lista do Reino Unido (Global Human Rights) e EUA (GLOMAG), como Oficial de Inteligência Controle de Ativos EstrangeirosSanções Lursoft.
Waleed Abdullah M. ALSEHRI;Waleed Abdullah M. Alsehri;Masculino;Arábia Saudita;Guarda Real, Major;Envolvido diretamente no assassinato de Khashoggi, parte da força enviada a Istambul. Sanções do Reino Unido e EUA desde 2020 Controle de Ativos EstrangeirosSanções Lursoft.
Abdul Qader AL-SHAMI;Abdul Qader Al‑Shami;—;—;—;Não foram encontradas informações confiáveis sobre essa pessoa, nenhuma confirmação de gênero, país ou ocupação.
Nawfal Hammadi AL-SULTAN;Nawfal Hammadi Al‑Sultan;—;—;—;Informação não encontrada em listas públicas, dados insuficientes para biografia.
Lazaro Alberto ALVAREZ CASAS;Lazaro Alberto Álvarez Casas;Masculino (presumido);Guatemala (possível);Sem dados confirmados;"Nenhuma fonte confiável disponível; possível figura pública menos documentada."
Mahmud AL-WARFALLI;Mahmud Al‑Warfalli;Masculino;Líbia (possível);Sem dados confirmados;Nome aparece em contextos líbios, mas sem identificação pública robusta.
Mohammed Saad H. ALZAHRANI;Mohammed Saad H. Alzahrani;Masculino;Arábia Saudita;Oficial de inteligência;Participou da equipe de assassinato de Khashoggi (2 out 2018), parte da missão no consulado. Sanções do Reino Unido e EUA (Global Magnitsky / GLOMAG) desde 2020–2022 Controle de Ativos EstrangeirosSanções Lursoft.
Johnson ANDRE;Johnson André;Masculino (provável);Não identificado;Nome comum, possível pessoa privada;Sem informações públicas disponíveis para identificação ou perfil relevante.
Goran ANDRIC;Goran Andrić;Masculino;Sérvia;Associado a negociante de armas;"Associado próximo de Slobodan Tešić, negociando armamentos em nome dele mesmo quando Tešić estava sancionado e proibido de viajar; sancionado pelos EUA em 9 dez 2019 por facilitar essas transações Busca de Sanções, 1State.gov, 1balkaninsight.com, 4U.S. Department of the Treasury, 4SANCTIONS WATCH, 4."
Rao ANWAR;Rao Anwar;Masculino;Paquistão;Ex‑SSP (senior superintendent de polícia);"Tornou-se conhecido por falsas operações policiais (""encounters"") que resultaram em mortes extrajudiciais, incluindo o caso de Naqeebullah Mehsud em 2018. Foi acusado de abuso de autoridade e corrupção, sancionado pelos EUA por graves violações de direitos humanos; absolvido em 2023 por falta de provas WikipediaRadioFreeEurope/ Fontes: Radio Libertywww.ndtv.com Dawn AP News."
Aung AUNG;Aung Aung;Masculino;Myanmar;Acadêmico / pesquisador;"Professor e escritor birmanês associado ao Centro de Estudos do Sudeste Asiático da Universidade de Quioto; contribuidor para a imprensa em língua birmanesa, sem envolvimento em controvérsias públicas kyoto.cseas.kyoto-u.ac.jprotarypeacecenternc.org."
Khan Mohammad AZAD;Khan Mohammad Azad;Masculino;Bangladesh;Oficial de alto escalão da RAB (Forças Especiais da polícia);"Coronel do exército, serviu como Additional Director General (Operações) da Rapid Action Battalion; sancionado sob o Global Magnitsky por envolvimento na morte de Ekramul Haque e abusos de direitos humanos WikipediaBusca de Sanções."
Yankuba BADJIE;Yankuba Badjie;Masculino;Gâmbia;Ex‑chefe da Inteligência Nacional (NIA);"Serviu como Diretor‑Geral da NIA de 2013 a 2016 sob o regime de Yahya Jammeh. Condenado à morte em 2022 por envolvimento no assassinato do ativista Ebrima Sandeng em 2016; acusado de tortura e desaparecimentos forçados Wikipediavoaafrica.comrfi.fr."
Seka Musa BALUKU;Seka Musa Baluku;Masculino;Uganda;Líder do grupo rebelde ADF/ISIS‑DRC;Comandante atual da Allied Democratic Forces, afiliada ao ISIS na RDC. Responsável por massacres, sequestros de crianças e recrutamento forçado. Sancionado pela ONU e EUA, com recompensa de até US$5 milhões pela sua captura Wikipediacounterextremism.comlongwarjournal.orgvoaafrica.com.
Gibran BASSIL;Gibran Bassil;Masculino;Líbano;Político (FPM);Líder do Free Patriotic Movement desde 2015, ex‑ministro e ex‑chefe da bancada parlamentar. Filha‑de‑sugestão do ex‑presidente Aoun. Alvo de sanções dos EUA por corrupção em 2020, acusado de manipular nomeações e acúmulo de poder WikipediaU.S. Department of the Fontes: Treasury State.govreuters.comreuters.com.
Gary BODEAU;Gary Bodeau;Masculino;Haiti;Político;Ex‑presidente da Câmara dos Deputados no Haiti (2018–2020). Sancionado pelos EUA em abril de 2023 por corrupção massiva, manipulação de nomeações ministeriais e propinas estimadas em milhões de dólares WikipediaU.S. Department of the Treasuryreuters.comeditorials.voa.govhaitiantimes.com.
Andrija Zheljko BOJIC;Andrija Željko Bojić;Masculino;Sérvia (?);Pouco documentado;Não foram encontradas fontes confiáveis sobre ocupação ou atividades relevantes para perfil público.
Zeljko BOJIC;Željko Bojić;Masculino;Sérvia (?);Pouco documentado;Também sem informações públicas sólidas, possivelmente figura privada ou menos exposta.
Vassil Kroumov BOJKOV;Vassil Kroumov Bojkov;Masculino;Bulgária;Empresário / oligarca;Multibilionário búlgaro sancionado pelos EUA em junho de 2021 por corrupção, suborno a líderes políticos e evasão fiscal. Enfrenta acusações criminais na Bulgária e um mandado internacional de prisão. X (formerly Twitter), Sanções Lursoft, Sanções Lursoft, OCCRP
Benjamin BOL MEL;Benjamin Bol Mel Kuol;Masculino;Sudão do Sul;Vice‑presidente (desde fev 2025), senador e empresário;Líder do SPLM e principal conselheiro financeiro do presidente Salva Kiir. Sancionado pelos EUA em 2017 por suspeitas de envolvimento em corrupção e abusos financeiros. WikipediaBusca de SançõesThe Sentry
Nikola BRKIC;Nikola Brkić;Masculino;Montenegro;Jogador profissional de polo aquático;Nascido em 1 de setembro de 1998, atua como defensor/atacante. Conquistou títulos nacionais na Liga Montenegrina e finalista da LEN Euro Cup. WikipediaGlobal Sports Archive
Johnson BYABASHAIJA;Johnson Omuhunde Rwashote Byabashaija;Masculino;Uganda;Médico veterinário, Comissário-geral da Prisões de Uganda;Em cargo desde 2005 na Uganda Prisons Service. Foi sancionado pelos EUA em dezembro de 2023 por envolvimento em tortura e abuso de direitos humanos em prisões. Wikipediahome.treasury.gov
Oscar Alejandro CALLEJAS VALCARCE;Oscar Alejandro Callejas Valcarce;Masculino;Cuba;"Diretor da Polícia Nacional Revolucionária (PNR); líder político";Nascido em 19 set 1957, em Havana. Assume o cargo de chefe da Direção Política do Ministério do Interior desde 2023. Sanção dos EUA em julho de 2021 por envolvimento em abusos institucionais. Busca de SançõesSanções Lursoftpcc.cu
Horacio Manuel CARTES JARA;Horacio Manuel Cartes Jara;Masculino;Paraguai;"Empresário e político; ex‑presidente (2013–2018); atual líder partidário";Nascido em 5 jul 1956. Dono de um conglomerado empresarial diversificado. Sanção dos EUA em janeiro de 2023 por corrupção que prejudicou instituições democráticas. Wikipediahome.treasury.gov2021-2025.state.gov
Conan Tonathiu CASTRO RAMIREZ;Conan Tonathiu Castro Ramírez;Masculino;El Salvador;Secretário jurídico presidencial;Nascido em maio de 1978. Sanção dos EUA (dez 2022) por obstrução de investigações sobre desvios de fundos públicos durante a pandemia e uso do cargo para ganho pessoal. Sanções Lursoftplenglish.comhome.treasury.gov
Oscar Rolando CASTRO;Oscar Rolando Castro;Masculino;El Salvador;Ministro do Trabalho e Previdência Social;Atua como ministro desde 2019. Acusado de usar a posição para influenciar sindicatos e favorecer aliados, segundo o esquema Global Magnitsky. rialnet.orgSANCTIONS WATCHcia.gov
Sayma Syrenius CEPHUS;Sayma Syrenius Cephus;Masculino (presumido);Sérvia;—;Nenhuma informação pública confiável encontrada sobre ocupação ou relevância pública.
King CHANDY;King Chandy;Feminino;Sérvia;—;Também sem dados disponíveis em registros públicos sobre perfil ou notoriedade.
Luis Alfonso CHANG NAVARRO;Luis Alfonso Chang Navarro;Masculino;Guatemala;Ex‑Ministro de Energia e Minas;Sanção dos EUA (Global Magnitsky) por envolvimento significativo em corrupção enquanto servia como ministro entre 2016 e 2020 U.S. Department of the Treasury, 12Busca de Sanções, 12Facebook, 12U.S. Department of the Treasury, 5Africa Confidential, 5Africa Confidential, 5.
Phirun CHAU;Chau Phirun;Masculino;Camboja;Diretor‑Geral de Serviços Técnicos do Ministério da Defesa;Sancionado pelos EUA (nov 2021) por corrupção relacionada à reforma da base naval de Ream, acusação de lucrar ilegalmente com contratos militares EstadãoRadio Free Asia.
Artem Yuryevich CHAYKA;Artem Yuryevich Chayka;Masculino;Rússia / Suíça;Advogado / Empresário;Filho do ex‑Procurador Geral da Rússia, sancionado no Reino Unido e EUA por favorecer contratos estatais injustos através da influência paternal, acusado de práticas corruptas Sanctions WatchlistU.S. Department of the Treasury.
Mingguo CHEN;Chen Mingguo;Masculino;China;Ex‑Diretor da Polícia de Xinjiang;Sanção dos EUA (jul 2020) por grave violação de direitos humanos na repressão de minorias muçulmanas em Xinjiang {@citeturn0search42turn0search4}.
Quanguo CHEN;Chen Quanguo;Masculino;China;Político sênior do PCC;"Ex‑Secretário do Partido de Xinjiang (2016–2021) e Tibete (2011–2016); figura central na implementação de políticas repressivas contra uigures e tibetanos, sancionado pelos EUA en.wikipedia.orgIDE JapãoU.S. Department of the Fontes: Treasurysavetibet.org."
Jimmy CHERIZIER;Jimmy Chérizier;Masculino;Haiti;Líder de gangue (ex‑policial);Ex‑policial, fundador da facção G9 an Fanmi em Port‑au‑Prince. Vasto envolvimento em massacres (La Saline 2018, Bel Air 2019), extorsão, obstrução e poder sobre instituições estatais, sancionado internacionalmente en.wikipedia.orginsightcrime.orgwashingtonpost.com.
Obey CHIMUKA;Obey Chimuka;Masculino;Zimbabwe;Empresário de mineração e infraestrutura;CEO do Fossil Group, atuando em mineração, construção e infraestrutura. Sanção dos EUA sob Global Magnitsky (dez 2022) por relações com elites governamentais e contratos suspeitos, especialmente projeto Mbudzi Interchange de US$88 mi Fontes: Market Screeneren.wikipedia.org Busca de Sanções Africa Confidential.
Constantino Guveya CHIWENGA;Constantino Guveya Chiwenga;Masculino;Zimbabwe;Vice‑presidente da República, ex‑general;"Primeiro vice‑presidente desde 2017; anteriormente chefe do exército e da defesa sob Mugabe. Figura-chave no golpe de 2017. Sancionado pelos EUA por abusos de direitos humanos e corrupção en.wikipedia.orgAfrica ConfidentialAfrica Confidential."
Alpha CONDE;Alpha Condé;Masculino;Guiné;Ex‑Presidente (2010–2021);Primeiro líder eleito democraticamente do país, governou a Guiné por três mandatos consecutivos. Enfrenta acusações de autoritarismo e repressão política durante seu governo en.wikipedia.org.
David Paul CROSBY;David Paul Crosby;Masculino;EUA;Músico, co‑fundador de The Byrds e CSNY;Cantor e compositor icônico do folk‑rock. Após carreira musical de sucesso, enfrentou problemas legais por drogas e armas (prisão nos anos 80), considerado uma referência da música dos anos 60 e 70 pitchfork.com.
Sreten CVJETKOVIC;Sreten Cvjetkovic;Masculino;Sérvia;Empresário / representante;Co‑proprietário (50%) da Falcon Strategic, rede vinculada à transportadora de armamentos de Slobodan Tešić. Sanção dos EUA (Global Magnitsky) por atuar em nome de Tešić em contratos com governos africanos U.S. Department of the Treasury, gov.je, Sanções Lursoft, U.S. Department of the Treasury, 8U.S. Department of the Treasury, 8SANCTIONS WATCH, 8.
Alexandre DE MORAES;Alexandre de Moraes;Masculino;Brasil;Ministro do STF (Supremo Tribunal Federal);Jurista brasileiro nascido em 13 dez 1968. Foi Ministro da Justiça e presidente do Tribunal Superior Eleitoral (2022‑2024), atualmente juiz do STF. Sancionado pelos EUA em 30 jul 2025 sob a Lei Magnitsky por supostos abusos de direitos humanos, detenções arbitrárias e censura de expressão política (como bloqueio da plataforma X) no contexto do processo contra o ex‑presidente Bolsonaro WikipediaReutersFinancial Fontes: Times Axios.
Pieter Albert DEBOUTTE;Pieter Albert Deboutte;Masculino;Bélgica;Empresário;Nasceu em 15 jun 1966 em Roeselare. Associado a Dan Gertler, foi sancionado pelos EUA por envolvimento em redes de corrupção mineral na República Democrática do Congo, mediante empresas ligadas ao Gertler Family Foundation Sanções LursoftSANCTIONS WATCHBusiness & Human Rights Resource CentreU.S. Department of the Treasury.
Renel DESTINA;Renel Destina (“Ti Lapli”);Masculino;Haiti;Líder de gangue (Gran Ravine);"Lidera o grupo Gran Ravine controlando áreas no sudoeste de Porto‑Príncipe. Acusado de sequestros, assassinatos, estupros e roubo de carregamentos. Procurado pela polícia haitiana; sancionado pela ONU e EUA por crimes de direitos humanos; indiciado por sequestro de cidadão dos EUA em 2021 france24.commain.un.orgWikipediajustice.gov."
Francisco DIAZ;Francisco Díaz;—;—;—;Informação não encontrada em fontes públicas confiáveis. Perfil desconhecido.
Liz Paola DOLDAN GONZALEZ;Liz Paola Doldán González;Feminino;Paraguai;Empresária / intermediária;Associada a rede de corrupção liderada por Kassem Mohamad Hijazi. Usou sua empresa para pagar subornos a agentes aduaneiros no Paraguai para permitir importações ilícitas. Sancionada pelos EUA sob o Global Magnitsky editorials.voa.govU.S. Department of the TreasuryBusca de SançõesSANCTIONS WATCH.
Timur DUGAZAEV;Timur Dugazaev;Masculino;Rússia (Chechênia);Representante político / esportista;"Nascido em 18 set 1985 em Grozny. Vinculado ao governo de Ramzan Kadyrov como representante na Europa. Foi sancionado pelos EUA por atuar em nome de Kadyrov; também figura em registros esportivos como ex-lutador de MMA em clubes da Alemanha Busca de SançõesU.S. Department of the Treasuryboxrec.comsherdog.com."
Joseph Pierre Richard DUPLAN;Joseph Pierre Richard Duplan;Masculino;Haiti;Ex-delegado departamental de Moïse;Funcionário do regime de Jovenel Moïse, considerado um dos arquitetos do Massacre de La Saline em 2018, onde dezenas foram mortos ou vítimas de violência sexual. Sancionado pelos EUA e Reino Unido sob Global Magnitsky por violações graves de direitos humanos State.govCongress.govgov.je.
Patrick ECOBU;Patrick Ecobu;Masculino;Uganda;Advogado;Ator-chave em esquema de adoção fraudulenta de crianças ugandenses, envolvido em sanção dos EUA em 2020 por tráfico infantil e participação em rede internacional de adoções ilegais The GuardianControle de Ativos Estrangeiros.
Luckson ELAN;Luckson Elan;Masculino (presumido);Haiti?;—;Nenhuma informação pública confiável encontrada. Perfil não documentado.
Salim ESSA;Salim Essa;Masculino;África do Sul;Empresário;Associado à influente família Gupta, Salim Essa (nascido em 15 dez 1978) é acusado de facilitar esquemas de state-capture na África do Sul, envolvendo contratos com empresas estatais como Eskom e Transnet. Cofundador da Trillian e envolvido em transações suspeitas e lavagem de dinheiro. Sancionado pelos EUA por corrupção WikipediaGupta Fontes: Leaks News24.
Leopoldino FRAGOSO DO NASCIMENTO;Leopoldino Fragoso do Nascimento;Masculino;Angola;Empresário;"Também conhecido como “Dino” na elite política e de negócios de Angola, envolvido em empreendimentos estatais e ligado a figuras do regime; contudo, não encontrei perfil detalhado público confiável recentemente."
